startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
119,광운대역,100,소요산역,101,동두천역,0,0,FRI,10,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
152,부평역,100,소요산역,101,동두천역,0,0,FRI,10,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,0,FRI,10,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
161,인천역,100,소요산역,101,동두천역,0,1,FRI,10,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100,소요산역,119,광운대역,100,소요산역,1,0,FRI,10,00,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
