startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,30,4,11,14,20,11,11,9,8,7.0,4.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,40,2,8,9,14,14,10,9,7,4.0,5.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,50,5,5,7,8,8,10,7,3,2.0,3.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,9,9,14,13,11,11,6,5.0,7.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,20,12,10,11,10,20,14,18,10,6.0,9.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,11,14,20,11,11,9,8,7.0,4.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,11,12,19,19,14,13,9,5.0,7.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,50,8,9,12,14,14,17,11,5,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
419,한성대입구역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
433,사당역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
443,금정역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,00,19,19,23,27,24,26,28,20,26.0,27.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,10,10,21,24,27,24,20,17,15,19.0,22.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,20,13,20,19,16,22,17,18,20,20.0,15.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,30,21,8,8,11,19,19,13,21,21.0,20.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,40,19,25,25,30,25,27,24,22,32.0,21.0
453,안산역,409,당고개역,447,반월역,0,0,FRI,10,50,16,22,17,20,13,22,17,11,18.0,13.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,00,19,19,23,27,24,26,28,20,26.0,27.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,10,11,23,27,29,27,22,19,17,21.0,24.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,20,15,22,21,17,24,19,20,22,22.0,16.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,30,25,10,10,13,22,22,16,25,25.0,23.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,40,19,25,25,30,25,27,24,22,32.0,21.0
456,오이도역,409,당고개역,447,반월역,0,0,FRI,10,50,16,22,17,20,13,22,17,11,18.0,13.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,00,19,19,23,27,24,26,28,20,26.0,27.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,10,10,21,24,27,24,20,17,15,19.0,22.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,20,13,20,19,16,22,17,18,20,20.0,15.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,30,21,8,8,11,19,19,13,21,21.0,20.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,40,19,25,25,30,25,27,24,22,32.0,21.0
456,오이도역,419,한성대입구역,447,반월역,0,0,FRI,10,50,16,22,17,20,13,22,17,11,18.0,13.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,00,19,19,23,27,24,26,28,20,26.0,27.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,10,10,21,24,27,24,20,17,15,19.0,22.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,20,13,20,19,16,22,17,18,20,20.0,15.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,30,21,8,8,11,19,19,13,21,21.0,20.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,40,19,25,25,30,25,27,24,22,32.0,21.0
456,오이도역,443,금정역,447,반월역,0,0,FRI,10,50,16,22,17,20,13,22,17,11,18.0,13.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,10,5,7,7,13,12,9,9,6,5.0,7.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,40,4,12,14,19,14,16,9,6,7.0,8.0
409,당고개역,453,안산역,446,대야미역,1,0,FRI,10,50,7,8,12,14,15,17,11,6,4.0,6.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,30,12,14,13,21,11,11,14,12,7.0,4.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,40,4,12,14,19,14,16,9,6,7.0,8.0
409,당고개역,456,오이도역,446,대야미역,1,0,FRI,10,50,7,8,12,14,15,17,11,6,4.0,6.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,40,3,11,13,17,13,14,8,6,7.0,7.0
411,노원역,456,오이도역,446,대야미역,1,0,FRI,10,50,5,6,10,11,12,13,9,5,3.0,5.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,30,8,9,9,14,8,8,10,8,5.0,3.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,40,3,11,13,17,13,14,8,6,7.0,7.0
412,창동역,456,오이도역,446,대야미역,1,0,FRI,10,50,5,6,10,11,12,13,9,5,3.0,5.0
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,00,5,7,11,13,13,14,10,8,7.0,3.0
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,10,5,6,6,11,11,8,8,5,4.0,6.0
419,한성대입구역,456,오이도역,446,대야미역,1,0,FRI,10,20,9,11,11,11,20,16,19,10,6.0,9.0
