startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,00,3,9,11,11,13,11,15,12,7.0,8.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,10,11,12,13,16,15,14,14,12,6.0,8.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,20,10,9,11,11,9,13,15,10,6.0,6.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,30,10,9,17,20,22,17,18,13,6.0,7.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,40,10,12,12,14,27,23,13,9,12.0,9.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,09,50,7,8,11,10,14,17,13,8,8.0,4.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,00,3,10,12,12,14,12,17,13,8.0,8.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,10,11,12,13,16,15,14,14,12,6.0,8.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,20,11,10,12,12,10,14,17,11,6.0,6.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,30,12,10,20,23,25,20,20,15,7.0,8.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,40,10,12,12,14,27,23,13,9,12.0,9.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,09,50,7,8,11,10,14,17,13,8,8.0,4.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,00,3,9,11,11,13,11,15,12,7.0,8.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,10,11,12,13,16,15,14,14,12,6.0,8.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,20,10,9,11,11,9,13,15,10,6.0,6.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,30,11,10,18,21,24,19,19,14,6.0,8.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,40,10,12,12,14,27,23,13,9,12.0,9.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,09,50,7,8,11,10,14,17,13,8,8.0,4.0
